Domain,Url From,Url To
caltechstore.caltech.edu,/apple,/technology/apple-computers
caltechstore.caltech.edu,/catalogs/100,/apparel
caltechstore.caltech.edu,/catalogs/100/products/103233,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/100/products/104623,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/100/products/104625,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/100/products/104626,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/100/products/104629,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/100/products/104630,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/100/products/104633,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/100/products/104636,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/100/products/104637,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/100/products/104638,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/100/products/104641,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/100/products/9781594203954,/gifts
caltechstore.caltech.edu,/catalogs/101,/gifts
caltechstore.caltech.edu,/catalogs/101/products/100428,/gifts
caltechstore.caltech.edu,/catalogs/101/products/100695,/gifts
caltechstore.caltech.edu,/catalogs/101/products/101439,/gifts
caltechstore.caltech.edu,/catalogs/101/products/101859,/gifts
caltechstore.caltech.edu,/catalogs/101/products/102437,/gifts
caltechstore.caltech.edu,/catalogs/101/products/102554,/gifts
caltechstore.caltech.edu,/catalogs/101/products/102578,/gifts
caltechstore.caltech.edu,/catalogs/101/products/102827,/gifts
caltechstore.caltech.edu,/catalogs/101/products/102850,/gifts
caltechstore.caltech.edu,/catalogs/101/products/103910,/gifts
caltechstore.caltech.edu,/catalogs/101/products/103917,/gifts
caltechstore.caltech.edu,/catalogs/101/products/103926,/gifts
caltechstore.caltech.edu,/catalogs/101/products/103927,/gifts
caltechstore.caltech.edu,/catalogs/101/products/103928,/gifts
caltechstore.caltech.edu,/catalogs/101/products/103929,/gifts
caltechstore.caltech.edu,/catalogs/101/products/103988,/gifts
caltechstore.caltech.edu,/catalogs/101/products/104008,/gifts
caltechstore.caltech.edu,/catalogs/101/products/104102,/gifts
caltechstore.caltech.edu,/catalogs/101/products/104155,/gifts
caltechstore.caltech.edu,/catalogs/101/products/104169,/gifts
caltechstore.caltech.edu,/catalogs/101/products/104268,/gifts
caltechstore.caltech.edu,/catalogs/101/products/104292,/gifts
caltechstore.caltech.edu,/catalogs/101/products/104313,/gifts
caltechstore.caltech.edu,/catalogs/101/products/104365,/gifts
caltechstore.caltech.edu,/catalogs/101/products/104551,/gifts
caltechstore.caltech.edu,/catalogs/101/products/105383,/gifts
caltechstore.caltech.edu,/catalogs/101/products/9020480,/gifts
caltechstore.caltech.edu,/catalogs/101/products/9020874,/gifts
caltechstore.caltech.edu,/catalogs/101/products/9022546,/gifts
caltechstore.caltech.edu,/catalogs/101/products/9039592,/gifts
caltechstore.caltech.edu,/catalogs/101/products/9046869,/gifts
caltechstore.caltech.edu,/catalogs/101/products/9780215123459,/gifts
caltechstore.caltech.edu,/catalogs/101/products/9780215987655,/gifts
caltechstore.caltech.edu,/catalogs/101/products/9780976432104,/gifts
caltechstore.caltech.edu,/catalogs/101/products/9789814460248,/gifts
caltechstore.caltech.edu,/catalogs/102,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/101567,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/102077,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/102192,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/102904,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/103392,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/103393,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/103460,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/103728,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/103826,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/104010,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/104378,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/104387,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/104396,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/104473,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/104474,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/105247,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/105252,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/105329,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/105373,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/102/products/105508,/apparel/sweatshirts
caltechstore.caltech.edu,/catalogs/103,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/103/products/100424,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/103/products/100765,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/103/products/101241,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/103/products/102583,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/103/products/102730,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/103/products/102917,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/103/products/103111,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/103/products/103124,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/103/products/103425,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/103/products/103533,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/103/products/103550,/apparel/t-shirts
caltechstore.caltech.edu,/catalogs/103/products/103665,/apparel
caltechstore.caltech.edu,/catalogs/103/products/103823,/apparel
caltechstore.caltech.edu,/catalogs/103/products/103898,/apparel
caltechstore.caltech.edu,/catalogs/103/products/104009,/apparel
caltechstore.caltech.edu,/catalogs/103/products/104021,/apparel
caltechstore.caltech.edu,/catalogs/103/products/104178,/apparel
caltechstore.caltech.edu,/catalogs/103/products/104767,/apparel
caltechstore.caltech.edu,/catalogs/103/products/105039,/apparel
caltechstore.caltech.edu,/catalogs/103/products/105120,/apparel
caltechstore.caltech.edu,/catalogs/103/products/105121,/apparel
caltechstore.caltech.edu,/catalogs/103/products/105386,/apparel
caltechstore.caltech.edu,/catalogs/103/products/105396,/apparel
caltechstore.caltech.edu,/catalogs/104,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/100169,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/101000,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/101065,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/101787,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/102263,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/103243,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/103429,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/103720,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/104319,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/104357,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/104528,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/104804,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/105281,/apparel/caps
caltechstore.caltech.edu,/catalogs/104/products/105366,/apparel/caps
caltechstore.caltech.edu,/catalogs/105,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/105/products/100985,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/105/products/102019,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/105/products/103480,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/105/products/103485,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/105/products/103900,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/105/products/104532,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/105/products/104717,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/105/products/104765,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/105/products/104775,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/105/products/104776,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/105/products/104779,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/105/products/105514,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/105/products/9064296,/gifts/drinkware
caltechstore.caltech.edu,/catalogs/107,/apparel/Youth-Clothing
caltechstore.caltech.edu,/catalogs/107/products/100089,/apparel/Youth-Clothing
caltechstore.caltech.edu,/catalogs/107/products/102162,/apparel/Youth-Clothing
caltechstore.caltech.edu,/catalogs/107/products/102785,/apparel/Youth-Clothing
caltechstore.caltech.edu,/catalogs/107/products/104033,/apparel/Youth-Clothing
caltechstore.caltech.edu,/catalogs/107/products/104354,/apparel/Youth-Clothing
caltechstore.caltech.edu,/catalogs/107/products/104601,/apparel/Youth-Clothing
caltechstore.caltech.edu,/catalogs/107/products/104744,/apparel/Youth-Clothing
caltechstore.caltech.edu,/catalogs/107/products/104928,/apparel/Youth-Clothing
caltechstore.caltech.edu,/catalogs/107/products/104944,/apparel/Youth-Clothing
