Domain,Url From,Url To
www.calloneonline.com,/Aastra-DHSG-Cable-Kit,/hardware/cables
www.calloneonline.com,/Aastra-Mitel-6735i-Charcoal-PoE,/search?keywords=poe%20phone
www.calloneonline.com,/Aastra-Wall-Mount-Kit-for-Lync-6721-6725,/search?keywords=phone%20wallmount
www.calloneonline.com,/Addasound-Crystal-2702-Entry-Binaural-Headset,/headsets/corded-headsets/connectivity/Quick-Disconnect
www.calloneonline.com,/Addasound-Crystal-SR2821-Headset,/headsets/corded-headsets/connectivity/USB
www.calloneonline.com,/Adesso-CyberTrack-H2-Webcam,/video-conferencing/webcams
www.calloneonline.com,/Adesso-CyberTrack-H6-Webcam,/video-conferencing/webcams
www.calloneonline.com,/Adesso-GP-160UB-Easy-Cat-2-Button-Glidepoint-Touchpad,/hardware/keyboards-and-mice
www.calloneonline.com,/Adesso-PCK-208B-Tru-Form-Media-Contoured-Ergonomic-Keyboard,/search?keywords=ergonomic%20keyboard
www.calloneonline.com,/APC-by-Schneider-Electric-Smart-UPS-SMT1000RM2U-1000VA-UPS,/brand/APC
www.calloneonline.com,/ATT-CL84102-Corded-Cordless-w-Answering-System,/brand/AT-AND-T
www.calloneonline.com,/Audiocodes-M1KB-VM-2SPAN-Voice-Module,/search?keywords=mulit-interface%20voice%20module
www.calloneonline.com,/Audiocodes-M1KB-VM-4FXS-O-Mediant-1000B-Analog-Module,/search?keywords=voip%20gateway
www.calloneonline.com,/Audiocodes-TEAMS-C450HD-IP-Phone,/phones/ip-phones
www.calloneonline.com,/Avid-Education-AE-711-Adjustable-Headphones,/brand/AVID
www.calloneonline.com,/Bittel-38A-10-Button-Single-Line-Black,/phones/hospitality-phones
www.calloneonline.com,/Bittel-38-Speaker-5-Button-Black,/phones/hospitality-phones
www.calloneonline.com,/Bogen-PCMZPM-Zone-Paging-Module-for-PCM2000,/search?keywords=paging%20module
www.calloneonline.com,/brand/APC/curent_offers/Rebates,/brand/APC
www.calloneonline.com,/brand/Cisco/curent_offers/Sennheiser-SDW-5000-Pre~Order,/brand/Cisco
www.calloneonline.com,/brand/POLY/product_family/Duoset,/brand/POLY/product-family/Duoset
www.calloneonline.com,/C2G-CTG-28102-6-FT-USB-Cable-Black,/brand/C2G/connectivity/USB
www.calloneonline.com,/Clearone-Chatattach-Expansion-Kit,/brand/ClearOne
www.calloneonline.com,/Clearone-Interact-AT-Bundle-K,/brand/ClearOne
