Domain,Url From,Url To
www.discussupplyco.com,/shopping_cart,/cart
www.discussupplyco.com,/login,/
www.discussupplyco.com,/home,/
www.discussupplyco.com,/page/contact-us,/contact-us
www.discussupplyco.com,/page/catalogs,/manufacturers
www.discussupplyco.com,/login/process,/
www.discussupplyco.com,/product/00/PZPANZL/Box-MeatPatty-10lb-Lrg-15x10.5x4,/Box-Meat-Patty-10lb-Lrg-15x10.5x4
www.discussupplyco.com,/my_account,/
www.discussupplyco.com,/category/35/bakery,/products/boxes
www.discussupplyco.com,/category/10/cups,/products/cups
www.discussupplyco.com,/category/100500/lids---hot-drink---dome,/products/cups
www.discussupplyco.com,/category/50/container,/products/containers
www.discussupplyco.com,/category/700200/lids---catering-trays--platters,/products/catering-and-events
www.discussupplyco.com,/category/01/bags,/products/bags
www.discussupplyco.com,/logout,/
www.discussupplyco.com,/category/700100/catering-trays--platters,/products/catering-and-events
www.discussupplyco.com,/product/00/CT-D-16W/Cont-Paper-16oz-Double-PE-White,/Cont-Paper-16oz-Double-PE-White
www.discussupplyco.com,/product/00/FS-3516B/Tray-Black-Square-16x16-SQ4616.BK,/products/catering-and-events/catering-items
www.discussupplyco.com,/page/about-us,/about-us?page=1
www.discussupplyco.com,/category/650020/basket-liners,/products/liners
www.discussupplyco.com,/categories,/
www.discussupplyco.com,/category/530305/papyrus--pulp-plates-and-bowls,/products/liners
www.discussupplyco.com,/checkout_receipt,/
www.discussupplyco.com,/my_account/web_orders,/
www.discussupplyco.com,/category/553000/paper-trays,/products/containers/paper-containers
www.discussupplyco.com,/page/services,/
www.discussupplyco.com,/product/00/PCM-DT339B/Cont-Plas-Black-Combo-9.5x7.5x1.5-3-comp-39oz-JF-339B,/products/containers/plastic-containers
www.discussupplyco.com,/product/00/TWL-H035/Towel-Roll-7.8x350-ft-Kraft-V04486,/products/towel-and-tissue/Towels
www.discussupplyco.com,/404.html,/
www.discussupplyco.com,/category/536500/lid---paper-bowl,/Cont-Paper-16oz-Double-PE-White
www.discussupplyco.com,/checkout,/
www.discussupplyco.com,/my_account/favourites,/
www.discussupplyco.com,/product/00/C-BX1472/Box-Corr.-14x7x2-Flat-Bread-box-Kraft,/Box-Corr.-14x7x2-Flat-Bread-box-Kraft
www.discussupplyco.com,/product/00/PCAYBCB425R/Cake-Bar-4.25-Cont-with-Lid-Combo-100-case,/Cake-Bar-4.25-Cont-with-Lid-Combo-100-case
www.discussupplyco.com,/product/00/PZ15/Pizza-Box-15x15x2-Plain-14plt,/
www.discussupplyco.com,/category/302500/pizza-liner-and-basket-paper,/
www.discussupplyco.com,/category/501505/plastic-container,/
www.discussupplyco.com,/browse/display/id/1,/
www.discussupplyco.com,/category/013210/zip-lock-pouch-stand-up-bags,/
www.discussupplyco.com,/category/100050/hot-drink-cups,/
www.discussupplyco.com,/category/102655/lids---clear-plastic---flat,/
www.discussupplyco.com,/category/352500/baking-cups--cup-cake-dividers,/
www.discussupplyco.com,/product/00/LBP7174/Beverage-on-the-Move-Border-Design-96oz-Coffee-to-Go,/
www.discussupplyco.com,/product/00/SB-32K/Cont-Paper-32oz-Salad-Bowl-Kraft-PE,/
www.discussupplyco.com,/product/00/WC-PBSCU13/Hinged-13.5-x-6.5-x-1.25-Fiber-Flat-BreadPizza-Box-ECO,/
www.discussupplyco.com,/category/013200/poly--pound-bags,/
www.discussupplyco.com,/category/701000/event-plates---dinner,/
www.discussupplyco.com,/product/00/CB654535/Cake-Box-6.5x4.5x3.5,/
www.discussupplyco.com,/product/00/PCM-NB-38-W/Bowl-Plastic-White-36oz-Combo,/
www.discussupplyco.com,/category/012005/paper-bag---kraft,/
www.discussupplyco.com,/category/012105/paper-handle-bag---kraft,/
www.discussupplyco.com,/category/102505/cold-drink-plastic-clear-cups,/
www.discussupplyco.com,/category/301500/pizza-to-go-containers,/
www.discussupplyco.com,/category/400405/multifold-towels,/
www.discussupplyco.com,/category/451600/linen-like-napkins,/
www.discussupplyco.com,/category/503000/paper-container--box,/
www.discussupplyco.com,/category/60/gloves,/
www.discussupplyco.com,/page/shipping-and-returns,/
www.discussupplyco.com,/product/00/IPDFR12CB/Cont-Paper-12oz-HotCold-Poly-CarteBlanc,/
www.discussupplyco.com,/product/00/IPL-22595-CL/Cont-Plastic-PP-Clear-8-oz-4.28x4.28x1.63-Tamper-Evident,/
www.discussupplyco.com,/product/00/K10510H/Bag-Paper-Kraft-wHandle-10x5x10,/
www.discussupplyco.com,/product/00/K141016H/Bag-Paper-Kraft-wHandle-14.25x9x16-200bdl,/
www.discussupplyco.com,/product/00/PCM-T38B/Cont-Plas-38oz-Black-Combo-6x8.5x2.5-L.R-38,/
www.discussupplyco.com,/category/013230/zip-lock-bags,/
www.discussupplyco.com,/category/020050/sandwich--sub-bags,/
www.discussupplyco.com,/category/15/straws,/
www.discussupplyco.com,/category/203005/Eco-Cutlery,/
www.discussupplyco.com,/category/203006/eco-cutlery---wrapped,/
www.discussupplyco.com,/category/350105/cake-box---white,/
www.discussupplyco.com,/category/350300/donut--muffin--cup-cakes-containers,/
www.discussupplyco.com,/category/500150/hinged-paper-containers,/
www.discussupplyco.com,/category/504000/paper-container--box-eco,/
www.discussupplyco.com,/category/602000/poly-disposable-gloves,/
www.discussupplyco.com,/category/82/kitchen--restaurant-supplies,/
www.discussupplyco.com,/category/949000/specialty,/
www.discussupplyco.com,/product/00/12LB500G/Bag-Poly-Clear-12-lb-8x4x20-Gusset,/
www.discussupplyco.com,/product/00/CLD-90-ORN/Lid-Cup-Dome-Orange-Fits-8S-10-24oz-Cup,/
www.discussupplyco.com,/product/00/GALI-51502/Cutlery-Dinner-TeaspoonNatural-White-CPLA-Compostable,/
www.discussupplyco.com,/product/00/IPL-23595-CL/Cont-Plastic-PP-Clear-12-oz-4.28x4.28x2.39-Tamper-Evident,/
www.discussupplyco.com,/product/00/PZPANZM/Box-Panzerotti-Medium-10.5x8x3,/
www.discussupplyco.com,/product/00/W20LB/Bag-Paper-White-20-lb-16x8-14x5-516,/
www.discussupplyco.com,/product/00/YF-PP2000-BLU/Spoon-Yogen-Fruz-Unwrapped-2000cs,/
www.discussupplyco.com,/product/01/C-BX16117/Box-Corr.-16x11x7-RSC-1232,/
www.discussupplyco.com,/reset_password/process,/
www.discussupplyco.com,/category/012155/paper-handle-bag---white,/
www.discussupplyco.com,/category/100105/hot-drink-cups-eco,/
www.discussupplyco.com,/category/100705/lids---hot-drink---eco,/
www.discussupplyco.com,/category/102705/lids---clear-plastic---dome,/
www.discussupplyco.com,/category/154005/straws-eco,/
www.discussupplyco.com,/category/203005/eco-cutlery,/
www.discussupplyco.com,/category/300100/pizza-box,/
www.discussupplyco.com,/category/350155/cake-box---kraft,/
www.discussupplyco.com,/category/350500/pie-box,/
www.discussupplyco.com,/category/500500/tamper-proof-containers,/
www.discussupplyco.com,/category/501601/lid---plastic-containers-eco,/
www.discussupplyco.com,/category/530100/paper-plates,/
www.discussupplyco.com,/category/535005/plastic-bowl,/
www.discussupplyco.com,/category/600100/vinyl-gloves,/
www.discussupplyco.com,/category/70/catering,/
www.discussupplyco.com,/category/700110/catering-trays--platters-eco,/
www.discussupplyco.com,/category/881000/office-supplies,/
www.discussupplyco.com,/category/94/food-products,/
www.discussupplyco.com,/category/943000/condiments-and-sugar,/
www.discussupplyco.com,/product/00/BC300107/Bag-Grease-Rst-Nat-Double-Open-EcoCraft-7x6.75-Special-Order,/
www.discussupplyco.com,/product/00/CB12123/Cake-Box-12x12x3,/
www.discussupplyco.com,/product/00/CB21154/Cake-Box-21x15x4-1pc,/
www.discussupplyco.com,/product/00/CB8835/Cake-Box-8x8x3.5,/
www.discussupplyco.com,/product/00/CBW9915/Cake-Box-9x9x1.5-wWindow-Pie,/
www.discussupplyco.com,/product/00/CT-S-16K/Cont-Paper-16oz-Sqt-Hot-Kraft,/
www.discussupplyco.com,/product/00/CTL-115-CL/Lid-Cont-Hot-Flt-PP-12-16-oz-Lid-only,/
www.discussupplyco.com,/product/00/DB220-30-1000/Container-Foil-1-lb-Oblong-4x5-30g-15372-A74,/
www.discussupplyco.com,/product/00/JAR07410/Jars-Glass-Short-Cylinder-270ml-9oz-12CS,/
www.discussupplyco.com,/product/00/MADMEX-C231512/Box-Corrugated-23x15x12-Plain,/
www.discussupplyco.com,/product/00/PZ16/Pizza-Box-16x16x2-Plain-14plt,/
www.discussupplyco.com,/product/00/SCT1030/Box-Donut-15-x-11-x-3.5-special-order,/
www.discussupplyco.com,/product/00/SOL-PS30331/Truncated-Tube-transparent-8cl-2.7oz,/
www.discussupplyco.com,/product/00/SOLODF8-0090/Lid-Container-Clear-Dome-6-oz-and-8-oz,/
www.discussupplyco.com,/product/00/SS-ACR12-WIDE/Cup-Plastic-12oz-Clear-Cup-PET-Wide,/
www.discussupplyco.com,/product/00/SS-APC16/Cup-Plastic-16oz-Clear-Cup-PET,/
www.discussupplyco.com,/product/00/SS-ASP626/Lid-Plastic-Sip-for-12-24oz-Clear-Cup-PET,/
www.discussupplyco.com,/product/00/SSP-TCSTGNHD722/Cont.-Box-Kraft-7x2.75x2.5-32oz-Min-order-2,/
www.discussupplyco.com,/product/00/TSUGAR-RAW/Sugar-Raw-Tubes-3.5-kgbag,/
www.discussupplyco.com,/category/013400/vacuum-bags,/
www.discussupplyco.com,/category/152000/straws-jumbo,/
www.discussupplyco.com,/category/204500/meal-kits---eco,/
www.discussupplyco.com,/category/224000/flags--ice-picks--steak-markers,/
www.discussupplyco.com,/category/500100/hinged-plastic-container,/
www.discussupplyco.com,/category/501000/foam-container,/
www.discussupplyco.com,/category/53/paper-plates-and-bowls,/
www.discussupplyco.com,/category/535006/plastic-bowl---eco,/
www.discussupplyco.com,/category/536005/paper-bowl,/
www.discussupplyco.com,/category/553500/lids-for-paper-trays,/
www.discussupplyco.com,/category/650010/dry-wax-sheets,/
www.discussupplyco.com,/category/709500/specialty-products-for-events,/
www.discussupplyco.com,/category/96/specialty-products,/
www.discussupplyco.com,/product/00/BC300101/Bags-GreaseRst-Nat-EcoCraft-9x10,/
www.discussupplyco.com,/product/00/BC320864/Bag-Paper-Window-Kraft-4x2x24-Special-Order,/
www.discussupplyco.com,/product/00/C-BX141410/Box-Corr.-14x14x10-ECT32-25bdl,/
www.discussupplyco.com,/product/00/CB8435/Cake-Box-8x4x3.5,/
www.discussupplyco.com,/product/00/CH21310/Tray-Paprus-4-Cup-Carrier-Bio-21317-360-per-case,/
www.discussupplyco.com,/product/00/CLD-90-YEL/Lid-Cup-Dome-Yellow-Fits-8S-10-24oz-Cup,/
www.discussupplyco.com,/product/00/CT-D-8W/Cont-Paper-8oz-Double-PE-White,/
www.discussupplyco.com,/product/00/CTPL-90-W/Lid-Paper-8-oz-White,/
www.discussupplyco.com,/product/00/DB9442-SL-50/Cont-Foil-Silver-Med-47oz-9x7-Combo-4202-70-50CWDL,/
www.discussupplyco.com,/product/00/DW-2917-1M/Basket-Liner-DWS-White-12x14-081005,/
www.discussupplyco.com,/product/00/FS-3541-L/Lid-Tray-Clear-Square-14x14-DDSQ1414.L,/
www.discussupplyco.com,/product/00/HCE9931/Hinged-Cont-Bagasse-9x9x3-1-Comp-ECO-4x50,/
www.discussupplyco.com,/product/00/HN6585B/Hairnet-Brown-29-Fine-12dz,/
www.discussupplyco.com,/product/00/INSLP120/Container-Clamshell-Plastic-10-Deep-Pie-Round-142-oz,/
www.discussupplyco.com,/product/00/IPL-21145-CL/Cont-Plastic-PP-Clear-32oz-5.4x5.4x3-Tamper-Evident,/
www.discussupplyco.com,/product/00/K10712-WHITE/Bag-Paper-White-wHandle-10x7x12,/
www.discussupplyco.com,/product/00/LBP7150/Beverage-on-the-Move-Kraft-3-Gallon-Special-Order-2-3-weeks,/
www.discussupplyco.com,/product/00/LXL100/Lid-Cup-PC050075100-Clear,/
www.discussupplyco.com,/product/00/LXL250/Lid-Cup-PC150S-PC200-Clear,/
www.discussupplyco.com,/product/00/PCM-JF-58/Cont-Plas-58oz-Black-Combo,/
www.discussupplyco.com,/product/00/PP-DX906/Napkin-Dinner-14-Fold-Xpressnap-Kraft-Pita-Pit-Z66452D1,/
www.discussupplyco.com,/product/00/PUR-V05201/TT-2Ply-1000-JRT-3.3Core-Classique-B-120-or-05662,/
www.discussupplyco.com,/product/00/PZ9/Pizza-Box-9x9x2-Plain-28plt,/
www.discussupplyco.com,/product/00/ROSELLE-GP99/Basket-Liner-GP-White-9x9-ROSELLE-1C-NC,/
www.discussupplyco.com,/product/00/SAC/Bag-Sandwich-White-GP-6x1x6-34-1000cs-2061008,/
www.discussupplyco.com,/product/00/SB5112090D300/Lid-Dome-Clear-for-2432-and-48-oz-Round-Pulp-Bowl,/
