Domain,Url From,Url To
equigas.net,/brands/,/brands
equigas.net,/acd/,/
equigas.net,/literature1/,/literature
equigas.net,/apollo/,/search?custitem_brand=Apollo
equigas.net,/news/,/news
equigas.net,/rego/,/search?custitem_brand=RegO
equigas.net,/about-us/,/about-us
equigas.net,/cimc-tank/,/search?custitem_brand=CIMCTank
equigas.net,/smart-hose/,/search?custitem_brand=Smart-Hose
equigas.net,/superior-products/,/search?custitem_brand=Superior-Products
equigas.net,/american-hammer/,/search?custitem_brand=AmericanHammer
equigas.net,/terms-and-conditions/,/terms-and-conditions
