Domain,Url From,Url To
shop.opterrasolutions.com,/Hy-End-Bifen-ITP-Utility-Insect-Granules,/Hy-End-Bifen-ITP-Utility-Insect-Granules
shop.opterrasolutions.com,/Hy-End-Bifen-S-Broad-Spectrum-Insect-Granules,/Hy-End-Bifen-S-Broad-Spectrum-Insect-Granules
shop.opterrasolutions.com,/Prodiamine-65-WDG-6x5-lb_2,/Prodiamine-65-WDG-6x5-lb_2
shop.opterrasolutions.com,/NaturChem-Glypho-Boost_3,/Opterra-Glypho-Boost_3
shop.opterrasolutions.com,/Picloram-22K_2,/Picloram-22K_2
shop.opterrasolutions.com,/NaturChem-Glypho-Boost_2,/Opterra-Glypho-Boost_2
shop.opterrasolutions.com,/Cyonara-9.7-General-Insecticide,/Cyonara-9.7-General-Insecticide
shop.opterrasolutions.com,/Hy-End-Wasp-and-Hornet-Spray,/Hy-End-Wasp-and-Hornet-Spray
shop.opterrasolutions.com,/Imazapyr-4-SL-2x2.5-gal_2,/Imazapyr-4-SL-2x2.5-gal_2
shop.opterrasolutions.com,/NaturChem-Oil-Soluble-Red-Dye,/Opterra-Oil-Soluble-Red-Dye
shop.opterrasolutions.com,/Sandbur-and-Crabgrass-Preventer,/Sandbur-and-Crabgrass-Preventer
shop.opterrasolutions.com,/T-Bird-WDG-Systemic-Fungicide_2,/T-Bird-WDG-Systemic-Fungicide_2
shop.opterrasolutions.com,/TurfPlex-20-2-3-Plus-SeaXtra,/TurfPlex-20-2-3-Plus-SeaXtra
shop.opterrasolutions.com,/AquaMark-Black-Lake-and-Pond-Colorant,/AquaMark-Black-Lake-and-Pond-Colorant
shop.opterrasolutions.com,/Bifen-I-T-Insecticide-Temiticide-Concentrate_2,/Bifen-I-T-Insecticide-Temiticide-Concentrate_2
shop.opterrasolutions.com,/Elite-Pinnacle-Premium-MSO-Surfactant_2,/Elite-Pinnacle-Premium-MSO-Surfactant_2
shop.opterrasolutions.com,/Flumigard-SC-2x1gal,/Flumigard-SC-2x1gal
shop.opterrasolutions.com,/Glyphosate-4-Plus-Tote-265-gal,/Glyphosate-4-Plus-Tote-265-gal
shop.opterrasolutions.com,/Gramoxone-SL-2.0-2x2.5Gal_2,/Gramoxone-SL-2.0-2x2.5Gal_2
shop.opterrasolutions.com,/Herbimax-Premium-Surfactant_2,/Herbimax-Premium-Surfactant_2
shop.opterrasolutions.com,/Inlet-Wetter-Spreader_2,/Inlet-Wetter-Spreader_2
shop.opterrasolutions.com,/JLB-Oil-Plus-Tracer-Dye_2,/JLB-Oil-Plus-Tracer-Dye_2
shop.opterrasolutions.com,/Loveland-Bark-Oil-Carrier-and-Diluent,/Loveland-Bark-Oil-Carrier-and-Diluent
shop.opterrasolutions.com,/NaturChem-Rodent-Slayer-Blocks,/Opterra-Rodent-Slayer-Blocks
shop.opterrasolutions.com,/pesticides/herbicides,/pesticides/herbicides
shop.opterrasolutions.com,/Root-Boost-Organic-Turf-and-Plant-Supplement,/Root-Boost-Organic-Turf-and-Plant-Supplement
shop.opterrasolutions.com,/search?page=1,/search?page=1
shop.opterrasolutions.com,/Spreader-90-Nonionic-Surfactant_2,/Spreader-90-Nonionic-Surfactant_2
shop.opterrasolutions.com,/Taurus-Trio-Granular-Insecticide-with-Verge-Technology,/Taurus-Trio-Granular-Insecticide-with-Verge-Technology
shop.opterrasolutions.com,/Vastlan-30-Gallon-Drum_2,/Vastlan-30-Gallon-Drum_2
shop.opterrasolutions.com,/1weeds/,/
shop.opterrasolutions.com,/adjuvants,/adjuvants
shop.opterrasolutions.com,/adjuvants/,/adjuvants/
shop.opterrasolutions.com,/AquaNeat-2.5-Gal_2,/AquaNeat-2.5-Gal_2
shop.opterrasolutions.com,/Atrazine-4L_2,/Atrazine-4L_2
shop.opterrasolutions.com,/Attrimec_2,/Attrimec_2
shop.opterrasolutions.com,/Bifen-I-T-Insecticide-Termiticide,/Bifen-I-T-Insecticide-Termiticide
shop.opterrasolutions.com,/Brewer-90-10-Non-Ionic-Surfactant_2,/Brewer-90-10-Non-Ionic-Surfactant_2
shop.opterrasolutions.com,/Clean-Trax-2.5s_2,/Clean-Trax-2.5s_2
shop.opterrasolutions.com,/Duo-Stick-Select-Dual-Action-Surfactant_2,/Duo-Stick-Select-Dual-Action-Surfactant_2
shop.opterrasolutions.com,/Ecomazapyr-2-SL-2x2.5-gal_2,/Ecomazapyr-2-SL-2x2.5-gal_2
shop.opterrasolutions.com,/Elite-Premier-Basal-Oil,/Elite-Premier-Basal-Oil
shop.opterrasolutions.com,/Enclave-Broad-Spectrum-Fungicide_2,/Enclave-Broad-Spectrum-Fungicide_2
shop.opterrasolutions.com,/Escort-XP-8x4lb_2,/Escort-XP-8x4lb_2
shop.opterrasolutions.com,/faqs,/faqs
shop.opterrasolutions.com,/Foam-Marker-Select,/Foam-Marker-Select
shop.opterrasolutions.com,/fungicides/,/pesticides/fungicides
shop.opterrasolutions.com,/GreenCLean-Pro-Granular-Algaecide-Bactericide,/GreenCLean-Pro-Granular-Algaecide-Bactericide
shop.opterrasolutions.com,/GreenCLean-Pro-Liquid-Algaecide-Bactericide,/GreenCLean-Pro-Liquid-Algaecide-Bactericide
shop.opterrasolutions.com,/Gunslinger-Amp-2x2.5-Gal_2,/Gunslinger-Amp-2x2.5-Gal_2
shop.opterrasolutions.com,/Gunslinger-PD-2x2.5-gal_2,/Gunslinger-PD-2x2.5-gal_2
shop.opterrasolutions.com,/herbicides/,/pesticides/herbicides
shop.opterrasolutions.com,/Ikes-CrossCut-Select-12x1Qt,/Ikes-CrossCut-Select-12x1Qt
shop.opterrasolutions.com,/Imox-2x2.5-gal-31600_2,/Imox-2x2.5-gal-31600_2
shop.opterrasolutions.com,/insecticides/,/pesticides/insecticides
shop.opterrasolutions.com,/Journey-2x2.5Gal_2,/Journey-2x2.5Gal_2
shop.opterrasolutions.com,/Loveland-Bark-Oil-Carrier-and-Diluent_3,/Loveland-Bark-Oil-Carrier-and-Diluent_3
shop.opterrasolutions.com,/Mad-Dog-2x2.5Gal_2,/Mad-Dog-2x2.5Gal_2
shop.opterrasolutions.com,/Milestone-2x2.5-Gal_2,/Milestone-2x2.5-Gal_2
shop.opterrasolutions.com,/MSMA-6-2x2.5Gal_2,/MSMA-6-2x2.5Gal_2
shop.opterrasolutions.com,/NaturChem-90-Spreader-Activator_2,/Opterra-90-Spreader-Activator_2
shop.opterrasolutions.com,/NaturChem-90-Spreader-Activator_4,/Opterra-90-Spreader-Activator_4
shop.opterrasolutions.com,/NaturChem-Basal-Oil_4,/Opterra-Basal-Oil_4
shop.opterrasolutions.com,/NaturChem-MSO_2,/Opterra-MSO_2
shop.opterrasolutions.com,/NaturChem-Water-Conditioner,/Opterra-Water-Conditioner
shop.opterrasolutions.com,/Pathway-2x2.5-Gal_2,/Pathway-2x2.5-Gal_2
shop.opterrasolutions.com,/Permethrin-10-EC,/Permethrin-10-EC
shop.opterrasolutions.com,/Plateau_2,/Plateau_2
shop.opterrasolutions.com,/PRODIAMINE-4L-2x2.5Gal_2,/PRODIAMINE-4L-2x2.5Gal_2
shop.opterrasolutions.com,/Ranger-Pro-2x2.5Gal_2,/Ranger-Pro-2x2.5Gal_2
shop.opterrasolutions.com,/search,/search
shop.opterrasolutions.com,/search?page=2,/search?page=2
shop.opterrasolutions.com,/Sunset-Spray-Adjuvant_2,/Sunset-Spray-Adjuvant_2
shop.opterrasolutions.com,/Surmise-Pro-4x1,/Surmise-Pro-4x1
shop.opterrasolutions.com,/Taurus-9.1SC_4,/Taurus-9.1SC_4
shop.opterrasolutions.com,/Tordon-22K-2x2.5Gal_2,/Tordon-22K-2x2.5Gal_2
shop.opterrasolutions.com,/Turf-Marker-Blue-SC-Select-Indicator,/Turf-Marker-Blue-SC-Select-Indicator
shop.opterrasolutions.com,/Velpar-75-DF,/Velpar-75-DF
shop.opterrasolutions.com,/?fragment=/Taurus-Trio-Granular-Insecticide-with-Verge-Technology?quantity=1,/?fragment=/Taurus-Trio-Granular-Insecticide-with-Verge-Technology?quantity=1
shop.opterrasolutions.com,/?page=1,/?page=1
