# ----------------------------------------,,,,,,,,,,
# Report CSV Export,,,,,,,,,,
# Account: mybroadline.com,,,,,Entrances,,,,,
# Property: www.mybrodline.com - GA4,,,,,4641,,,,,
# ----------------------------------------,,,,,,,,,,
# ,,,,,,,,,,
# Session medium exactly matches organic,,,,,,,,,,
# Start date: 20230524,,,,,,,,,,
# End date: 20231122,,,,,,,,,,
Session medium,Landing page + query string,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count,Conversions,Total revenue
organic,/,1136,730,17.10123239,0.895705521,6.862676056,0.642605634,7796,0,0
organic,/everything-you-need-to-know-about-the-lutron-and-sonos-integration/,104,10,0,0.102040816,3.038461538,0.096153846,316,0,0
organic,/product/recessed-media-box-ii-20-amp-model-w-steel-outlet-box/,75,5,0.066666667,0.068493151,3.253333333,0.066666667,244,0,0
organic,/product/stealth-acoustics-lrx83/,75,18,1.906666667,0.264705882,3.706666667,0.24,278,0,0
organic,/brand/dynamic-mounting/,54,17,0,0.34,3.592592593,0.314814815,194,0,0
organic,/product/lutron-ra2-visor-control-receiver-white/,50,2,0,0.040816327,3.24,0.04,162,0,0
organic,/product/lutron-ra2-large-15-button-tabletop-keypad/,50,4,0,0.085106383,3.04,0.08,152,0,0
organic,/product/lutron-ra2-powpak-0-10v-434-residential-system/,46,4,0.02173913,0.1,3.043478261,0.086956522,140,0,0
organic,/product/dynabox/,34,6,4.764705882,0.181818182,4.470588235,0.176470588,152,0,0
organic,/contact/,47,8,0.021276596,0.258064516,2.936170213,0.170212766,138,0,0
organic,/product/adc-v723/,31,2,0,0.066666667,3.032258065,0.064516129,94,0,0
organic,/product/hdmi-edid-blocker-tool/,30,4,0,0.133333333,3.2,0.133333333,96,0,0
organic,/product/studio65-sb/,31,7,0.290322581,0.259259259,3.451612903,0.225806452,107,0,0
organic,/product/lutron-hvac-controller-and-temperature-sensor-package/,26,2,0,0.076923077,3.230769231,0.076923077,84,0,0
organic,/shop-by-brand/,37,25,70.27027027,1.041666667,8.351351351,0.675675676,309,0,0
