Domain,Url From,Url To
staging.wlubookstore.com,/c-9-clothing-and-accessories.aspx,/clubhouse
staging.wlubookstore.com,/c-72-course-materials.aspx,/course-materials
staging.wlubookstore.com,/c-201-digital-textbook-access.aspx,/digital-textbook-access-for-students
staging.wlubookstore.com,/c-176-sweaters-and-hoodies.aspx,/clubhouse/club-house-tops/clubhouse-hoodies-sweaters
staging.wlubookstore.com,/c-71-hours-of-operation.aspx,/hours-and-locations?page=1
staging.wlubookstore.com,/c-79-textbook-buyback.aspx,/buyback
staging.wlubookstore.com,/c-169-student-information.aspx,/student-information
staging.wlubookstore.com,/c-43-grad-gifts.aspx,/celebrations/graduation
staging.wlubookstore.com,/c-146-redeem-access-code.aspx,/redeem-access-codes
staging.wlubookstore.com,/signin.aspx?ReturnUrl=/,/
staging.wlubookstore.com,/t-contact.aspx,/contact-us?page=1
staging.wlubookstore.com,/c-209-sale.aspx,/
staging.wlubookstore.com,/p-22511-2022-2023-introduction-to-federal-income-taxation-in-canada-with-the-study-guide-43rd-edition.aspx,/adoption-search
staging.wlubookstore.com,/shoppingcart.aspx,/
staging.wlubookstore.com,/c-181-sweaters-and-hoodies.aspx,/clubhouse/club-house-tops/clubhouse-hoodies-sweaters
staging.wlubookstore.com,/c-223-hawk-shop.aspx,/clubhouse
staging.wlubookstore.com,/c-207-program-apparel.aspx,/classroom/program-wear
staging.wlubookstore.com,/m-668-wolters-kluwer-limited.aspx,/adoption-search
staging.wlubookstore.com,/c-165-t-shirts.aspx,/clubhouse/club-house-tops/clubhouse-shirts-tanks
staging.wlubookstore.com,/p-5040-lesbin-bisexual-queer-transexualtransgender-sexualities-vol-24-23.aspx,/adoption-search
staging.wlubookstore.com,/p-20119-classic-laurier-hood.aspx,/classics/classics-tops/classics-hoodies-sweaters
staging.wlubookstore.com,/p-21543-introductory-linear-algebra.aspx,/adoption-search
staging.wlubookstore.com,/t-returns.aspx,/returns?page=1
staging.wlubookstore.com,/p-17902-iclicker-reef-access-code-1-year-subscription.aspx,/
staging.wlubookstore.com,/c-177-mens.aspx,/classics
staging.wlubookstore.com,/p-21625-ebook-2021-2022-introduction-to-federal-income-taxation-in-canada-with-study-guide-42nd-edition-bundle.aspx,/adoption-search
staging.wlubookstore.com,/c-30-giftware.aspx,/classics/classics-accessories/classics-giftware
staging.wlubookstore.com,/c-229-textbooks-101.aspx,/textbooks-101
staging.wlubookstore.com,/p-19111-access-code-etext-mylab-economics-with-pearson-etext-standalone-access-card-for-macroeconomics-sixteenth-canadian-edition.aspx,/redeem-access-codes
staging.wlubookstore.com,/c-226-mom-dad-family.aspx,/community/family
staging.wlubookstore.com,/signin.aspx?returnurl=/account.aspx,/
